Learning Rate	Train Loss	Train acc	Test Loss	Test acc	
0.010000	0.042087	0.861010	0.013756	0.773553	
0.010000	0.011474	0.922579	0.006192	0.876853	
0.010000	0.009405	0.928994	0.014529	0.824725	
0.010000	0.007925	0.933349	0.007498	0.803802	
0.010000	0.007290	0.935844	0.007372	0.869680	
0.010000	0.006433	0.938259	0.005947	0.913319	
0.010000	0.005985	0.940899	0.006149	0.900526	
0.010000	0.005502	0.943591	0.006180	0.849354	
0.010000	0.005171	0.945755	0.006719	0.865375	
0.010000	0.004863	0.946943	0.009039	0.867288	
0.010000	0.004670	0.947484	0.007354	0.881157	
0.010000	0.004486	0.948606	0.005658	0.881636	
0.010000	0.004134	0.951827	0.005744	0.906504	
0.010000	0.003997	0.952275	0.010335	0.872310	
0.010000	0.003815	0.953265	0.006308	0.901243	
0.010000	0.003667	0.954215	0.005673	0.864419	
0.010000	0.003549	0.954625	0.006471	0.896222	
0.010000	0.003486	0.955245	0.009216	0.899330	
0.010000	0.003362	0.955575	0.007000	0.890842	
0.010000	0.003325	0.956578	0.005255	0.899450	
0.010000	0.003175	0.957607	0.006013	0.865495	
0.010000	0.003482	0.955219	0.008239	0.912243	
0.010000	0.003261	0.956472	0.006115	0.841224	
0.010000	0.003079	0.957858	0.005736	0.893113	
0.010000	0.002876	0.960458	0.006677	0.833453	
0.010000	0.002781	0.959350	0.005381	0.861191	
0.010000	0.002633	0.960630	0.007650	0.887853	
0.010000	0.002633	0.960485	0.006252	0.870995	
0.010000	0.002578	0.961052	0.006439	0.854017	
0.010000	0.002463	0.960986	0.009182	0.773075	
0.010000	0.002405	0.961844	0.007507	0.841224	
0.010000	0.002364	0.962187	0.006749	0.862865	
0.010000	0.002323	0.962121	0.006151	0.833812	
0.010000	0.002306	0.962887	0.006953	0.871473	
0.010000	0.002250	0.962781	0.009825	0.885581	
0.010000	0.002192	0.963784	0.007893	0.862506	
0.010000	0.002130	0.963652	0.007323	0.846724	
0.010000	0.002095	0.962702	0.007966	0.884864	
0.010000	0.002047	0.964286	0.007096	0.864778	
0.010000	0.001988	0.965513	0.007955	0.839192	
0.010000	0.001994	0.965183	0.006794	0.823410	
0.010000	0.001960	0.964814	0.007689	0.856887	
0.010000	0.001850	0.965698	0.006850	0.877571	
0.010000	0.001830	0.965196	0.008676	0.919417	
0.010000	0.001823	0.966424	0.008409	0.864419	
0.010000	0.001798	0.966820	0.007692	0.865973	
0.010000	0.001820	0.965804	0.008842	0.801411	
0.010000	0.001789	0.967031	0.007045	0.814084	
0.010000	0.001720	0.967295	0.008001	0.865973	
0.010000	0.001895	0.966701	0.007561	0.831181	
