Learning Rate	Train Loss	Train acc	Test Loss	Test acc	
0.010000	0.037221	15.181350	0.007728	8.738486	
0.010000	0.008121	10.003882	0.007684	7.027626	
0.010000	0.006509	8.946718	0.005604	8.163575	
0.010000	0.005191	8.356314	0.005616	6.683145	
0.010000	0.004865	8.022267	0.005132	5.794162	
0.010000	0.004143	7.317513	0.006158	5.714683	
0.010000	0.003670	7.043765	0.007992	7.954379	
0.010000	0.004510	7.611581	0.007903	5.690974	
0.010000	0.003645	6.843517	0.003690	4.383347	
0.010000	0.003288	6.823611	0.006657	7.149815	
0.010000	0.003110	6.755803	0.004906	5.271167	
0.010000	0.002702	6.679867	0.004238	5.177968	
0.010000	0.002531	6.650927	0.007501	6.322079	
0.010000	0.002384	6.640054	0.008438	7.567690	
0.010000	0.002371	6.526789	0.004442	5.260620	
0.010000	0.002220	6.424456	0.008572	8.166171	
0.010000	0.002200	6.529617	0.006558	6.102844	
0.010000	0.002062	6.515404	0.007803	7.027358	
0.010000	0.002153	6.642358	0.004117	4.658555	
0.010000	0.001933	6.332243	0.007110	6.911348	
0.010000	0.001821	6.433166	0.009438	8.603354	
0.010000	0.001734	6.391211	0.005485	5.515228	
0.010000	0.001684	6.450150	0.006394	6.623108	
0.010000	0.001607	6.334987	0.005021	5.294033	
0.010000	0.001579	6.283162	0.004166	4.994588	
0.010000	0.001657	6.390786	0.004843	5.476726	
0.010000	0.001446	6.318253	0.005695	5.331444	
0.010000	0.001977	6.803922	0.004924	5.562590	
0.010000	0.001528	6.151089	0.009718	7.462894	
0.010000	0.002379	6.663543	0.004923	5.384697	
0.010000	0.001524	6.521698	0.007680	6.483608	
0.010000	0.001406	6.171279	0.005024	5.407016	
0.010000	0.001404	6.392481	0.010196	8.433447	
0.010000	0.001495	6.335458	0.004905	4.452896	
0.010000	0.001283	6.241029	0.004627	4.777608	
0.010000	0.001223	6.273302	0.005327	5.556988	
0.010000	0.001181	6.240038	0.005302	5.531723	
0.010000	0.001170	6.301495	0.006071	5.967644	
0.010000	0.001165	6.348816	0.006854	6.535680	
0.010000	0.001968	6.600745	0.004665	5.333262	
0.010000	0.001352	6.218805	0.030795	16.242685	
0.010000	0.001406	6.335488	0.010201	7.668492	
0.010000	0.001137	6.398803	0.006685	6.859512	
0.010000	0.001095	6.358239	0.006399	5.725913	
0.010000	0.001164	6.417257	0.007077	6.301480	
0.010000	0.001209	6.430325	0.006608	7.061020	
0.010000	0.001085	6.427677	0.008553	6.908279	
0.010000	0.001031	6.217590	0.007001	6.848754	
0.010000	0.000991	6.211840	0.006410	5.689053	
0.010000	0.001200	6.250087	0.007245	7.032072	
