Learning Rate	Train Loss	Train acc	Test Loss	Test acc	
0.010000	0.086811	19.556396	0.031249	11.087846	
0.010000	0.027770	13.121966	0.013921	7.851025	
0.010000	0.023738	13.179921	0.025025	15.573454	
0.010000	0.021151	12.382244	0.017240	13.999138	
0.010000	0.019616	12.060840	0.015585	10.775750	
0.010000	0.018304	11.479510	0.018043	15.143330	
0.010000	0.016885	10.656547	0.031961	17.542665	
0.010000	0.016389	10.650586	0.011190	5.756563	
0.010000	0.015561	10.566109	0.022528	15.641663	
0.010000	0.014805	9.907818	0.012020	6.567467	
0.010000	0.013725	9.614110	0.011965	4.801760	
0.010000	0.013337	9.302861	0.018287	10.809097	
0.010000	0.013011	9.213902	0.013025	7.894237	
0.010000	0.012483	9.270606	0.013858	8.131430	
0.010000	0.012041	8.664976	0.027467	18.041817	
0.010000	0.011538	8.780654	0.010408	6.235770	
0.010000	0.011321	8.544009	0.016027	12.414628	
0.010000	0.010925	8.413638	0.015814	9.758889	
0.010000	0.010605	8.389824	0.009849	5.246401	
0.010000	0.010479	8.287965	0.009754	5.852560	
0.010000	0.010090	7.813467	0.011058	5.135256	
0.010000	0.009749	7.869000	0.011227	6.868472	
0.010000	0.009589	7.840055	0.011098	5.243160	
0.010000	0.009409	7.670302	0.010582	5.888561	
0.010000	0.009134	7.696403	0.013298	6.834160	
0.010000	0.008859	7.625503	0.009720	5.706614	
0.010000	0.008861	7.468226	0.011251	8.107230	
0.010000	0.008559	7.463278	0.011772	7.802106	
0.010000	0.008442	7.389606	0.011076	6.947692	
0.010000	0.008205	7.128666	0.010255	7.781690	
0.010000	0.008160	7.233249	0.010272	5.338168	
0.010000	0.007980	7.260852	0.010907	6.259244	
0.010000	0.007761	7.249846	0.010706	5.563299	
0.010000	0.007651	7.092989	0.011268	6.248116	
0.010000	0.007517	7.118587	0.011968	7.454885	
0.010000	0.007469	7.171530	0.012491	6.845293	
0.010000	0.007344	7.018177	0.016807	9.309447	
0.010000	0.007092	6.728363	0.009184	5.585913	
0.010000	0.007056	6.998801	0.010307	5.704343	
0.010000	0.006963	7.006414	0.012665	8.198351	
0.010000	0.006873	7.083500	0.009479	5.250132	
0.010000	0.006770	6.993640	0.010713	6.511656	
0.010000	0.006764	6.852315	0.013164	7.739595	
0.010000	0.006644	6.976747	0.013770	6.841201	
0.010000	0.006456	6.841659	0.010534	6.047486	
0.010000	0.006532	6.989541	0.011766	5.707654	
0.010000	0.006402	6.839278	0.019830	12.870184	
0.010000	0.006317	6.722764	0.015815	15.754514	
0.010000	0.006247	6.780731	0.011086	5.972953	
0.010000	0.006194	6.797931	0.012097	6.131835	
0.010000	0.006035	6.731773	0.011958	9.003700	
0.010000	0.005972	6.626868	0.012387	6.869890	
0.010000	0.005930	6.665485	0.011732	9.625749	
0.010000	0.005942	6.636208	0.010967	6.970499	
0.010000	0.005874	6.667489	0.010554	5.544246	
0.010000	0.005792	6.571742	0.011887	6.435744	
0.010000	0.005738	6.526700	0.011255	7.611706	
0.010000	0.005598	6.589977	0.013199	6.670725	
0.010000	0.005580	6.607803	0.012774	7.151196	
0.010000	0.005596	6.639524	0.012150	5.615276	
0.010000	0.005515	6.495484	0.015039	8.304570	
0.010000	0.005401	6.592594	0.012737	10.679891	
0.010000	0.005368	6.607751	0.017958	8.913245	
0.010000	0.005443	6.473348	0.011592	6.527215	
0.010000	0.005279	6.536081	0.011100	7.038510	
0.010000	0.005287	6.520458	0.012524	7.714145	
0.010000	0.005120	6.518781	0.012034	5.387407	
0.010000	0.005200	6.489228	0.013103	10.557498	
0.010000	0.005122	6.495414	0.011531	5.451533	
0.010000	0.005087	6.457704	0.011992	5.548481	
0.010000	0.005018	6.607853	0.010529	6.662311	
0.010000	0.004990	6.685781	0.011817	5.301931	
0.010000	0.004910	6.377416	0.013131	6.642766	
0.010000	0.004951	6.500699	0.017262	8.619773	
0.010000	0.004841	6.447023	0.015523	7.839410	
0.010000	0.004845	6.550268	0.016180	8.146701	
0.010000	0.004775	6.533437	0.014158	7.079622	
0.010000	0.004751	6.528096	0.011653	6.402053	
0.010000	0.004743	6.365454	0.010121	6.940573	
0.010000	0.004727	6.483009	0.011884	6.436971	
0.010000	0.004635	6.443207	0.010305	4.735635	
0.010000	0.004593	6.531710	0.011580	6.008643	
0.010000	0.004595	6.543316	0.011776	7.145357	
0.010000	0.004545	6.486538	0.017952	8.908786	
0.010000	0.004555	6.515151	0.014918	7.722364	
0.010000	0.004470	6.486950	0.011661	6.307371	
0.010000	0.004478	6.561728	0.011515	5.774940	
0.010000	0.004475	6.325694	0.013295	6.248029	
0.010000	0.004414	6.562743	0.017341	7.844902	
0.010000	0.004335	6.499351	0.013801	6.573279	
0.010000	0.004337	6.342889	0.011723	5.976224	
0.010000	0.004274	6.304115	0.014755	6.917373	
0.010000	0.004292	6.385504	0.014614	7.107446	
0.010000	0.004316	6.353694	0.012477	7.087580	
0.010000	0.004253	6.525474	0.011118	7.385736	
0.010000	0.004187	6.463408	0.013162	11.563793	
0.010000	0.004125	6.452324	0.013112	6.780655	
0.010000	0.004127	6.405677	0.013565	8.063596	
0.010000	0.004125	6.344659	0.013093	7.077572	
0.010000	0.004165	6.587678	0.014007	5.927999	
